鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
三民區,房地(土地+建物),高雄市三民區鼎華路211~240號,7.69,商,,,1081124,土地1建物1車位0,二十四層,25.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,951207.0,87.83,2,2,1,有,有,4450000,50666.0,,0.0,0,,RPQNMLKMKIOFFDE97CA
三民區,房地(土地+建物),高雄市三民區大順二路631~660號,3.82,住,,,1081210,土地1建物1車位0,十四層，電梯樓梯間,18.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850325.0,41.75,1,1,1,有,有,1850000,44311.0,,0.0,0,,RPVNMLLMKIOFFDE58CA
三民區,房地(土地+建物)+車位,高雄市三民區鼎貴路62巷31~60號,20.88,住,,,1081113,土地1建物1車位1,七層，電梯樓梯間,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830809.0,139.04,4,2,2,有,有,5380000,38694.0,坡道機械,0.0,0,,RPRPMLKMKIOFFDE28CA
三民區,房地(土地+建物)+車位,高雄市三民區鼎力路61~90號,6.08,商,,,1081216,土地1建物1車位1,十層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021023.0,81.38,2,2,1,有,有,5300000,65127.0,坡道機械,5.93,0,含增建或未登記建物。;,RPVNMLNJJHPFFDE38CA
三民區,房地(土地+建物),高雄市三民區水源路217巷1~30號,9.95,住,,,1081127,土地2建物1車位0,十七層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010605.0,97.78,2,2,2,有,有,4200000,42954.0,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPVNMLQJJHPFFDE68CA
楠梓區,房地(土地+建物),高雄市楠梓區土庫一路151~180號,14.93,住,,,1081205,土地1建物1車位0,十層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,941206.0,113.4,3,2,2,有,有,3800000,33510.0,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQOMLRLKIOFFEE78CA
左營區,房地(土地+建物)+車位,高雄市左營區新莊一路121~150號,13.19,住,,,1081119,土地1建物1車位1,十二層,27.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830811.0,177.94,4,2,2,有,有,8630000,48499.0,坡道平面,0.0,0,,RPTPMLRLKIOFFEE56CA
左營區,房地(土地+建物),高雄市左營區孟子路511~540號,16.15,住,,,1081125,土地1建物1車位0,九層,13.0,住宅大樓(11層含以上有電梯),住家用,見使用執照,930519.0,119.67,3,2,2,有,有,7150000,59748.0,,0.0,0,,RPPNMLKMKIOFFEE97CA
左營區,房地(土地+建物)+車位,高雄市左營區至聖路211~240號,26.77,住,,,1081107,土地1建物1車位2,十二層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,791129.0,194.28000000000003,4,2,2,有,有,10800000,55590.0,坡道機械,0.0,0,,RPTOMLLMKIOFFEE58CA
左營區,房地(土地+建物)+車位,高雄市左營區自由二路151~180號,11.24,住,,,1081206,土地1建物2車位1,十四層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830803.0,128.63,3,2,2,有,有,6000000,46645.0,坡道平面,0.0,0,,RPUNMLRJJHPFFEE78CA
楠梓區,房地(土地+建物)+車位,高雄市楠梓區德民路426巷1~30號,9.55,住,,,1081204,土地1建物1車位1,二十層,23.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,851028.0,133.06,3,1,2,有,有,4800000,36074.0,坡道平面,0.0,0,,RPVOMLOKJHPFFEE78CA
左營區,房地(土地+建物),高雄市左營區重建路1~30號,7.66,商,,,1081201,土地1建物1車位0,十四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,950410.0,88.92,2,1,1,有,有,5000000,56230.0,,0.0,0,,RPPQMLPKJHPFFEE48CA
左營區,房地(土地+建物)+車位,高雄市左營區福山里博愛四路361~390號,11.2,商,,,1081212,土地1建物1車位1,十三層,25.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021202.0,234.03,4,2,2,有,有,18600000,77197.0,坡道平面,17.44,1880000,親友、員工或其他特殊關係間之交易。;,RPQQMLKLJHPFFEE18CA
岡山區,房地(土地+建物),高雄市岡山區嘉新東路61~90號,6.99,住,,,1081207,土地1建物1車位0,六層,17.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,870430.0,83.78,3,2,2,有,有,2220000,26498.0,,0.0,0,含增建或未登記建物。;,RPPPMLKMKIOFFFE28CA
鳳山區,房地(土地+建物),高雄市鳳山區瑞興路249巷1~30號,11.33,住,,,1081109,土地1建物1車位0,一層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,860919.0,96.36,3,2,2,有,有,4700000,48775.0,,0.0,0,,RPWOMLKMKIOFFGE98CA
鳳山區,房地(土地+建物)+車位,高雄市鳳山區青年路二段151~180號,32.22,住,,,1081201,土地1建物1車位1,十七層，十八層,18.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,800230.0,287.63,5,2,4,有,有,10700000,37201.0,坡道平面,0.0,0,,RPPOMLKKJHPFFGE97CA
