鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
萬華區,房地(土地+建物),臺北市萬華區和平西路三段301~330號,14.0,住,,,1081107,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660128,75.89,2,2,1,有,無,7000000,92239,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPNMLLMKIOFFBA37CA
萬華區,房地(土地+建物)+車位,臺北市萬華區西藏路91~120號,40.54,住,,,1081213,土地2建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000908,190.14,3,2,2,有,有,28018888,147359,坡道平面,0.0,0,向政府機關承購之案件。;土地及建物分次登記案件。前案土地登記收件字號：;,RPTNMLNJJHPFFBA57CA
內湖區,房地(土地+建物),臺北市內湖區民權東路六段123巷21弄31~60號,113.11,住,,,1081126,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0940728,283.97999999999996,3,2,3,有,有,45050000,158638,,0.0,0,含增建或未登記建物。;,RPRNMLOLKIOFFCA87CA
內湖區,房地(土地+建物),臺北市內湖區內湖路三段271~300號,34.12,住,,,1081104,土地4建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750221,97.58,3,2,2,有,無,14000000,143472,,0.0,0,含增建或未登記建物。;,RPSNMLOLKIOFFCA97CA
內湖區,房地(土地+建物),臺北市內湖區內湖路一段285巷69弄1~30號,19.01,住,,,1081117,土地2建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0701230,110.72999999999999,3,2,2,有,有,15500000,139980,,0.0,0,,RPXQMLOLKIOFFCA78CA
中山區,房地(土地+建物),臺北市中山區松江路90巷1~30號,24.56,住,,,1081008,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0660311,139.18,3,2,1,有,有,26300000,188964,,0.0,0,含增建或未登記建物。;,RPPRMLOLKIOFFCA08CA
中山區,房地(土地+建物),臺北市中山區德惠街1~30號,3.8,商,,,1081204,土地1建物1車位0,七層,十層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0710419,40.28,1,1,1,有,有,6800000,168818,,0.0,0,,RPXNMLRLKIOFFCA78CA
中山區,房地(土地+建物)+車位,臺北市中山區中山北路二段65巷1~30號,7.14,商,,,1081117,土地1建物1車位1,九層,十四層,辦公商業大樓,商業用,鋼筋混凝土造,0901112,100.71000000000001,2,1,1,有,有,19800000,196604,坡道機械,0.0,0,含增建或未登記建物。;,RPURMLRLKIOFFCA88CA
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路一段411巷61~90號,95.96,住,,,1081029,土地2建物1車位6,二十八層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1051026,688.8599999999999,0,0,0,無,有,220000000,382484,坡道平面,152.9,15000000,地下停車位6位及全體區分所有權人共用4位,RPQNMLSLKIOFFCA18CA
中山區,房地(土地+建物),臺北市中山區林森北路451~480號,7.27,商,,,1081124,土地1建物1車位0,二層,十層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0850730,34.339999999999996,1,0,1,有,無,5000000,145603,,0.0,0,,RPUOMLLMKIOFFCA08CA
