鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
林口區,房地(土地+建物)+車位,新北市林口區文化三路一段451~480號,15.03,住,,,1070701,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081107,155.16,3,2,2,有,有,14415000,100008,坡道平面,29.02,1800000,,RPWWMLLLJHPFFBF66CA
林口區,房地(土地+建物)+車位,新北市林口區文化三路一段451~480號,15.03,住,,,1060514,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081107,157.69,3,2,2,有,有,14355316,99535,坡道平面,31.55,1800000,,RPONNLLLJHPFFBF67CA
林口區,房地(土地+建物)+車位,新北市林口區文化三路一段451~480號,15.03,商,,,1070919,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081107,157.69,3,2,2,有,有,14620760,101639,坡道平面,31.55,1800000,,RPUQMLMLJHPFFBF58CA
林口區,房地(土地+建物)+車位,新北市林口區文化三路一段451~480號,15.03,商,,,1070410,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081107,155.16,3,2,2,有,有,14635000,102545,坡道平面,29.02,1700000,,RPUOMLKMJHPFFBF28CA
新店區,房地(土地+建物),新北市新店區安泰路1~30號,33.47,其他,,,1081202,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1040921,90.5,2,2,1,有,有,7450000,82320,,0.0,0,,RPSPMLNLKIOFFCF58CA
新店區,房地(土地+建物)+車位,新北市新店區寶橋路78巷31~60號,14.16,住,,,1081027,土地1建物1車位1,十七層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020829,175.16000000000003,3,2,2,有,有,27500000,156999,坡道平面,26.42,0,含增建或未登記建物。;,RPRNMLOLKIOFFCF38CA
新店區,房地(土地+建物),新北市新店區新坡一街18巷5弄1~30號,50.45,,山坡地保育區,丙種建築用地,1081114,土地1建物1車位0,一層，二層，夾層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0800624,164.95,3,3,2,有,無,11900000,72143,,0.0,0,含增建或未登記建物。;,RPSOMLOLKIOFFCF58CA
新店區,房地(土地+建物),新北市新店區新生街13巷28弄1~30號,24.25,住,,,1081120,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,73.55,3,1,1,有,無,8500000,115568,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPTOMLOLKIOFFCF68CA
新店區,車位,新北市新店區溪園路391~420號,0.88,住,,,1081124,土地0建物0車位1,,,其他,,,,23.73,0,0,0,有,有,2200000,,坡道平面,23.73,2200000,單獨車位交易。;,RPPOMLPLKIOFFCF38CA
新店區,房地(土地+建物),新北市新店區中央路121~150號,30.88,住,,,1081114,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750121,121.58,4,2,2,有,無,12360000,101661,,0.0,0,含增建或未登記建物。;,RPVNMLRLKIOFFCF09CA
新店區,房地(土地+建物),新北市新店區安祥路91~120號,52.48,,山坡地保育區,丙種建築用地,1081027,土地1建物1車位0,七層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830927,108.12,3,2,2,有,有,5500000,50869,,0.0,0,,RPSOMLRLKIOFFCF88CA
新店區,房地(土地+建物),新北市新店區福園街21巷1~30號,32.0,住,,,1081112,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680704,83.72,3,1,1,有,無,8600000,102723,,0.0,0,,RPPNMLSLKIOFFCF58CA
新店區,車位,新北市新店區達觀路22巷1~30號,0.0,,,,1081211,土地0建物0車位1,,,其他,,,,35.29,0,0,0,有,有,480000,,坡道平面,35.29,480000,單獨車位交易。;,RPXNMLKMKIOFFCF68CA
新店區,車位,新北市新店區達觀路14巷1~30號,0.0,,,,1081217,土地0建物0車位1,,,其他,,,,32.5,0,0,0,有,有,630000,,坡道平面,32.5,630000,單獨車位交易。;,RPROMLKMKIOFFCF18CA
