鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
西區,房地(土地+建物)+車位,臺中市西區三民西路61~90號,25.13,商,,,1081102,土地2建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041214,177.1,3,2,2,有,有,13800000,77922,坡道平面,23.33,0,,RPROMLNJJHPFFAB47CA
南區,房地(土地+建物),臺中市南區南和路88巷1~30號,33.42,住,,,1081128,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0670808,74.4,3,1,1,有,無,3800000,51075,,0.0,0,,RPVNMLQJJHPFFAB08CA
西區,房地(土地+建物)+車位,臺中市西區臺灣大道二段241~270號,17.75,商,,,1081122,土地1建物1車位2,五層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070910,200.39999999999998,3,2,2,有,有,20480000,116255,坡道平面,44.88,2400000,,RPUOMLQJJHPFFAB08CA
西區,土地,麻園頭段1~30地號,161.0,住,,,1081014,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,29220000,181491,,0.0,0,,RPQOMLRJJHPFFAB77CA
西區,土地,公館段31~60地號,8.5,其他,,,1081210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,416543,49005,,0.0,0,,RPWOMLRJJHPFFAB38CA
東區,房地(土地+建物),臺中市東區復興路四段181~210號,151.0,商,,,1080925,土地6建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,0561124,312.0,4,3,4,有,無,33000000,105769,,0.0,0,親友、員工或其他特殊關係間之交易。;畸零地或有合併使用之交易。;,RPSQMLRJJHPFFAB18CA
西區,房地(土地+建物)+車位,臺中市西區大忠南街61~90號,19.94,住,,,1081125,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0960705,204.67000000000002,4,2,2,有,無,14380000,70259,坡道平面,20.41,0,,RPTQMLKKJHPFFAB67CA
西區,房地(土地+建物),臺中市西區南屯路一段31~60號,81.0,住,,,1081123,土地1建物1車位0,全,二層,透天厝,住家用,見其他登記事項,,97.27,3,1,2,有,無,13000000,133649,,0.0,0,含增建或未登記建物。;,RPUQMLNKJHPFFAB08CA
西區,房地(土地+建物)+車位,臺中市西區美村路一段118巷1~30號,19.92,住,,,1081210,土地1建物1車位1,一層,六層,店面(店鋪),商業用,鋼筋混凝土造,0820525,65.22,0,0,0,無,有,4670000,71604,升降機械,0.0,0,,RPPNMLNKJHPFFAB27CA
西區,房地(土地+建物)+車位,臺中市西區英才路421~450號,5.81,住,,,1081119,土地1建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0990812,76.8,1,1,1,有,有,7252500,94434,坡道平面,20.16,0,,RPWNMLQKJHPFFAB28CA
