鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
小港區,房地(土地+建物)+車位,高雄市小港區高鳳路726巷1~30號,32.39,住,,,1081216,土地1建物1車位1,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821110,126.13,3,2,2,有,有,1400000,11100,一樓平面,0.0,0,親友、員工或其他特殊關係間之交易。;,SPQPMLRLKIOFFCE78CA
小港區,土地,明義段1~30地號,221.42,住,,,1081212,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6391114,28864,,0.0,0,向政府機關承購之案件。;抵費地買賣,RPPOMLKMKIOFFCE87CA
小港區,土地,明義段1~30地號,208.44,住,,,1081212,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6020933,28886,,0.0,0,向政府機關承購之案件。;抵費地買賣,RPQOMLKMKIOFFCE97CA
前鎮區,土地,新生段1531~1560地號,102.0,商,,,1081113,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7800000,76471,,0.0,0,地上有未辦保存登記之建物,RPVOMLKMKIOFFCE48CA
前鎮區,建物,高雄市前鎮區廣西路211~240號,0.0,,,,1081019,土地0建物1車位1,八層,十六層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070620,145.01,3,2,2,有,有,7100000,50354,坡道平面,24.86,1050000,1.地上權案件2.房地交易總價內含地上權權利價值213萬元3.兩人共有,RPVNMLMJJHPFFCE18CA
前鎮區,建物,高雄市前鎮區廣西路181~210號,0.0,,,,1080921,土地0建物1車位1,十三層,十六層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070620,145.01,3,2,2,有,有,7380000,52684,坡道平面,24.86,1050000,1.地上權案件2.房地交易總價內含地上權權利價值221萬元,RPWNMLMJJHPFFCE28CA
前鎮區,建物,高雄市前鎮區廣西路211~240號,0.0,,,,1080928,土地0建物1車位0,三層,十六層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070620,97.95,2,2,1,有,有,4710000,48086,,0.0,0,1.地上權案件2.房地交易總價內含地上權權利價值141萬元,RPXNMLMJJHPFFCE38CA
前鎮區,建物,高雄市前鎮區廣西路181~210號,0.0,,,,1080916,土地0建物1車位0,四層,十六層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070620,83.14,2,2,1,有,有,3880000,46668,,0.0,0,1.地上權案件2.房地交易總價內含地上權權利價值116萬元,RPOOMLMJJHPFFCE57CA
前鎮區,建物,高雄市前鎮區廣西路181~210號,0.0,,,,1080916,土地0建物1車位0,五層,十六層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070620,83.14,2,2,1,有,有,3880000,46668,,0.0,0,1.地上權案件2.房地交易總價內含地上權權利價值116萬元,RPPOMLMJJHPFFCE67CA
前鎮區,建物,高雄市前鎮區廣西路181~210號,0.0,,,,1080916,土地0建物1車位0,五層,十六層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070620,83.17,2,2,1,有,有,3880000,46651,,0.0,0,1.地上權案件2.房地交易總價內含地上權權利價值116萬元,RPQOMLMJJHPFFCE77CA
